Home_Team,Away_Team,1D_gain_H,1D_gain_A,1D_allowed_H,1D_allowed_A,Yards_gain_H,Yards_gain_A,Yards_allowed_H,Yards_allowed_A,Winner,Line,,Concat1,Concat2,Line
Kansas City Chiefs,Houston Texans,28,21,21,28,369,360,360,369,Home,-9,,Kansas City ChiefsHouston Texans,Kansas City ChiefsTampa Bay Buccaneers,-3
Buffalo Bills,New York Jets,31,15,15,31,404,254,254,404,Home,-6.5,,Buffalo BillsNew York Jets,Kansas City ChiefsBuffalo Bills,-3
Atlanta Falcons,Seattle Seahawks,28,22,22,28,506,383,383,506,Away,1,,Atlanta FalconsSeattle Seahawks,Green Bay PackersTampa Bay Buccaneers,-3
Washington Football Team,Philadelphia Eagles,18,19,19,18,239,265,265,239,Home,5,,Washington Football TeamPhiladelphia Eagles,New Orleans SaintsTampa Bay Buccaneers,-2.5
Baltimore Ravens,Cleveland Browns,23,20,20,23,381,306,306,381,Home,-7,,Baltimore RavensCleveland Browns,Kansas City ChiefsCleveland Browns,-8
New England Patriots,Miami Dolphins,29,20,20,29,357,269,269,357,Home,-7,,New England PatriotsMiami Dolphins,Buffalo BillsBaltimore Ravens,-2.5
Minnesota Vikings,Green Bay Packers,25,31,31,25,382,522,522,382,Away,-2.5,,Minnesota VikingsGreen Bay Packers,Green Bay PackersLos Angeles Rams,-7
Jacksonville Jaguars,Indianapolis Colts,17,27,27,17,241,445,445,241,Home,8,,Jacksonville JaguarsIndianapolis Colts,Pittsburgh SteelersCleveland Browns,-5.5
Detroit Lions,Chicago Bears,25,26,26,25,426,363,363,426,Away,-2.5,,Detroit LionsChicago Bears,New Orleans SaintsChicago Bears,-11
Carolina Panthers,Las Vegas Raiders,22,23,23,22,388,372,372,388,Away,3,,Carolina PanthersLas Vegas Raiders,Tennessee TitansBaltimore Ravens,3.5
